rightttt	35/-86	0.1111111111111111	0.8194333558546724	9	0
wfm	32/-97	0.5	1.2237871442743768	2	0
sí	25/-101	0.36363636363636365	0.7366159775517194	88	0
assistir	32/-97	0.3	0.9386866442307054	10	0
fund	40/-74	0.15873015873015872	0.48431417351485756	126	5
nv	36/-116	0.7132275132275132	0.6386318284096778	945	0
self	27/-84	0.10762711864406779	0.42831715763571393	1180	108
early	42/-76	0.1791871921182266	0.22998668084792845	3248	129
osceola	34/-93	0.4090909090909091	1.0987175012735313	22	0
dream…	41/-78	0.125	0.8310699939474252	8	0
create	38/-77	0.10240963855421686	0.47080599208107626	332	33
week	34/-87	0.10022075055187638	0.46275461907952703	4530	452
new	40/-74	0.17154647278443702	0.010584557916215397	15267	24
minutes	47/-123	0.10043668122270742	0.48275938530114915	2061	205
holdings	34/-119	0.11403508771929824	0.48762571849670994	114	10
trabajo	25/-101	0.1152073732718894	0.33660205931318327	434	2
breaker	40/-74	0.1	0.5026716573249784	30	2
gorge	44/-121	0.1875	0.5979119008230089	16	1
can't	37/-105	0.10017747978702425	0.46507536475002925	5071	507
night	34/-119	0.10007915865656451	0.447843628946436	8843	882
retarded	40/-74	0.13829787234042554	0.508887738886921	94	5
omg	40/-74	0.1003048780487805	0.45602639701518916	3280	326
niggas	27/-84	0.10022061140876143	0.4415679296637031	3173	317
pathetic	40/-74	0.10311750599520383	0.4566158752968064	417	35
best	35/-86	0.10004522840343735	0.4461766872160477	11055	1105
thank	37/-123	0.1	0.4649873045779155	7630	762
black	41/-89	0.1000146006716309	0.47838583764180903	20547	2054
show	36/-96	0.10004042037186742	0.4779360694723977	4948	494
jam	35/-81	0.11552346570397112	0.4839541527416183	277	26
blue	33/-118	0.10084033613445378	0.46586447745054016	1190	118
local	40/-74	0.1006036217303823	0.4479939506432969	994	99
asked	33/-118	0.10165184243964422	0.4526649915723972	1574	154
based	38/-78	0.1008174386920981	0.4416165648838401	367	36
tells	27/-84	0.10344827586206896	0.47827625947671604	406	40
rhino	43/-117	0.22727272727272727	0.8105634857705855	22	0
row	39/-78	0.10236220472440945	0.48133516796943804	635	63
hahaha	26/-82	0.10099573257467995	0.4649534739368126	703	70
pls	38/-106	0.1010332950631458	0.46256443248634027	871	87
contact	35/-81	0.10263157894736842	0.44978987893243916	380	37
taurus	32/-87	0.14285714285714285	0.5172303384595343	28	2
idiot	40/-75	0.10180623973727422	0.4779346995241022	609	60
egypt	40/-74	0.101956745623069	0.3293147651298195	971	63
dressing	33/-85	0.104	0.42309473554414545	250	18
automotive	45/-94	0.1016	0.4387763897389009	1250	119
wi	44/-90	0.18866459627329193	0.3510746167251371	1288	0
justice	41/-88	0.1006896551724138	0.4669500215805868	725	72
lived	37/-77	0.10204081632653061	0.45871857347028544	294	29
target…	44/-94	0.18181818181818182	0.8702407492417447	11	0
fit	41/-94	0.10001359804188197	0.4795915884231273	14708	1470
absolute	33/-87	0.10199004975124377	0.4795811343486824	402	40
euphoricfreak	38/-80	0.8	1.321515806216793	5	0
bfs	37/-120	0.15	0.5784308127096011	20	1
put	35/-90	0.10018105009052504	0.44770424105880563	4971	496
wonderful	43/-80	0.1	0.46479264061807885	1320	128
mansion	35/-78	0.1044776119402985	0.4804945281504901	67	6
luck	32/-86	0.10070921985815603	0.45182529458484777	1410	140
messy	42/-85	0.10084033613445378	0.452501317790252	119	11
africans	30/-89	0.15625	0.7387183080920319	32	0
painted	33/-97	0.1095890410958904	0.4819965283623709	73	7
hate	37/-78	0.1	0.45144335422124204	6290	628
store	36/-87	0.10045973097224586	0.4661616654360473	5873	585
found	40/-74	0.1000461041954818	0.47990475657261533	2169	216
course	35/-83	0.1	0.47848551382008764	1250	124
itsfleric	44/-94	0.5	1.2333489298455282	2	0
continue	38/-78	0.10051993067590988	0.46622195022650226	577	57
ny	40/-74	0.48525044545634527	0.3365372675955896	5051	0
monument	39/-87	0.25609756097560976	0.6086750661514391	82	3
failed	26/-81	0.10194174757281553	0.46775380923611976	206	20
nice	34/-119	0.10018814675446848	0.48038489068487106	4252	425
seymour	38/-86	0.47058823529411764	1.0192749935367658	17	0
dramatic	40/-74	0.1065989847715736	0.4641689076626811	197	18
rn	35/-107	0.10023961661341853	0.4666313990089976	5008	500
bias	30/-98	0.11428571428571428	0.5045449131713036	70	6
guess	34/-119	0.10019120458891013	0.4804126236266075	2615	261
travel	40/-74	0.10442260442260443	0.4537130774139522	814	65
'ed	29/-91	0.3333333333333333	1.110169936213254	3	0
sister	34/-119	0.10057142857142858	0.4511925295037043	1750	172
incredible	40/-74	0.10194174757281553	0.44200629768604754	618	58
confirmation	40/-74	0.13333333333333333	0.4869294671288525	60	4
nurse	39/-76	0.10077120822622108	0.46466087715357174	1945	194
back	40/-83	0.1000766381402478	0.4448951401507442	15658	1565
isn't	46/-115	0.1	0.4621803554981834	1150	114
brooklyn	40/-74	0.7605421686746988	0.7140899461601117	664	0
today	34/-119	0.10001334697690974	0.4496132549037397	22477	2247
frost	36/-87	0.11247443762781185	0.4417489153032638	489	45
christian	34/-119	0.11138613861386139	0.45344751483260676	404	35
mi	42/-84	0.23994340004042855	0.1852991347113351	4947	1
mall	40/-74	0.11089939024390244	0.2961358146058524	2624	200
end	29/-96	0.10019482326746451	0.4644631571953512	3593	358
toothpaste	33/-118	0.11764705882352941	0.548101934720223	17	1
heat	25/-81	0.11087420042643924	0.4679370492207421	469	44
unique	36/-117	0.10191082802547771	0.44587960925170467	157	15
order	39/-87	0.1011764705882353	0.4508455367320589	1275	127
