houston	29/-96	0.8576530612244898	0.6486349997488978	1960	0
lascruces	32/-107	0.7941176470588235	1.1217642978370312	34	0
assistir	32/-97	0.3	0.9432083091700668	10	0
dolt	40/-75	0.2222222222222222	0.9656398240595594	9	0
grigio	41/-78	0.2	0.9762085482052095	5	0
magnolia	31/-98	0.2077922077922078	0.668442272240775	77	0
disneyland	33/-118	0.7746478873239436	0.8579553131000234	213	0
cleared	40/-74	0.2609841827768014	0.4050578538646703	1138	0
pepa	32/-84	0.5555555555555556	1.1399446273128726	9	0
lew	25/-81	0.25	1.0202281734600065	4	0
hopkinsville	36/-88	0.5384615384615384	1.076362001737873	13	0
itsfleric	44/-94	0.5	1.2528658186312673	2	0
greenwood	39/-87	0.33707865168539325	0.7294940378208586	89	0
il	41/-88	0.38612321095208463	0.35831067839420333	3214	0
gz	34/-118	0.3333333333333333	1.1140772459070716	3	0
lions	42/-84	0.15865384615384615	0.5059883444939673	208	0
suprise	40/-75	0.15384615384615385	0.7882377574738088	26	0
inte…	29/-99	0.13333333333333333	0.7770923719274332	15	0
dogsoftwitter	47/-123	0.125	0.7654029618859811	32	0
sí	25/-101	0.36363636363636365	0.7386622163452963	88	0
glenbrook	41/-88	0.7333333333333333	1.238563332898172	15	0
haute	39/-88	0.6875	1.1093949827486407	16	0
canton	40/-83	0.2717391304347826	0.6005075403499033	184	0
décembre	45/-74	0.625	1.2695523031952791	8	0
nottingham	41/-88	0.72	1.1027703791180796	25	0
newyear	40/-75	0.4	1.1410279982720173	5	0
farrhailey	41/-88	0.8333333333333334	1.3479072932625418	6	0
near	40/-80	0.3082408874801902	0.37151406859641345	1262	0
san	37/-123	0.28641304347826085	0.32173545125143754	1840	0
wally	40/-74	0.14285714285714285	0.7768846696106948	21	0
ut	40/-112	0.4889466840052016	0.532937957407512	769	0
pp	45/-123	0.7969052224371374	0.7478874528999981	517	0
bonded	29/-99	0.16666666666666666	0.8795267923329073	12	0
sumner	47/-123	0.45454545454545453	1.097841481780579	11	0
grandisland	40/-99	0.9047619047619048	1.2358754946915358	21	0
pwi	36/-77	0.2777777777777778	0.99064155515739	18	0
nv	36/-116	0.7132275132275132	0.6506775670990569	945	0
pittsburgh	40/-80	0.4195323246217332	0.5119129379263765	727	0
seymour	38/-86	0.47058823529411764	1.02317548806792	17	0
brooklyn	40/-74	0.7605421686746988	0.7047353920144941	664	0
conway	35/-93	0.5733333333333334	0.7800703952827646	150	0
uva	38/-79	0.22764227642276422	0.5563392550157353	246	0
jerusalem	40/-74	0.46153846153846156	1.0570019569984088	13	0
hollywood	34/-119	0.47731755424063116	0.5751230999452633	507	0
beefing	29/-96	0.10144927536231885	0.5958310713695054	69	0
rangers	40/-74	0.3787878787878788	0.7061197013735941	132	0
los	34/-119	0.2418745275888133	0.24603897683557577	2646	0
target…	44/-94	0.18181818181818182	0.8748696554475899	11	0
altstadtbrewery	30/-97	0.6666666666666666	1.3306836438384606	3	0
osceola	34/-93	0.4090909090909091	1.1125562104953641	22	0
mbs	40/-74	0.1875	0.8454578846657002	16	0
grandrapids	42/-86	0.9245283018867925	1.093828101096602	106	0
contemporary	36/-116	0.3225806451612903	0.8369392025774761	31	0
winona	33/-90	0.825	1.1122279347465034	120	0
wolf	35/-106	0.10596026490066225	0.49180749376626187	151	0
broomall	39/-76	0.9090909090909091	4.999993239864377	11	0
