early	42/-76	0.1564039408866995	0.18562082587956308	3248	0
consuming	32/-97	0.07692307692307693	0.6476144708778107	26	0
pp	45/-123	0.7969052224371374	0.7412606531601789	517	0
never	40/-74	0.03871252204585538	3.7025085485685465e-06	11340	0
target…	44/-94	0.18181818181818182	0.8702407492417423	11	0
westco	39/-95	0.5	1.1254221386309664	6	0
usual	40/-74	0.04406779661016949	0.3034285715110907	295	0
blackfriday	42/-76	0.07034574468085106	3.7025085485685465e-06	7520	0
thinking	40/-74	0.036744186046511626	0.0406473411719238	2150	0
happythankgiving	37/-123	0.09210526315789473	0.5401880621481125	76	0
great	40/-74	0.030488041998833367	3.7025085485685465e-06	25715	0
i've	40/-74	0.038170450806186244	3.7025085485685465e-06	3039	0
tf	29/-96	0.04499437570303712	0.08648488165156368	1778	0
gifts	40/-74	0.03929539295392954	0.1874179544100476	738	0
holes	34/-119	0.05185185185185185	0.38558090676520346	135	0
interests	38/-78	0.08333333333333333	0.7597476366843425	36	0
pass	34/-119	0.02848297213622291	0.027983791442709897	1615	0
fbi	38/-78	0.0797872340425532	0.41623371550766164	188	0
left	40/-74	0.033002670736360165	5.414129576855265e-06	5242	0
hype	27/-84	0.04564315352697095	0.23248197961088116	482	0
regions	33/-87	0.3017241379310345	0.668479602131151	116	0
looking	40/-74	0.030437000510117326	3.7025085485685465e-06	11762	0
holi…	29/-83	0.16666666666666666	0.9036587187456127	6	0
pa	40/-76	0.12413687279423047	0.04909661400210528	6517	0
floozyesq	44/-94	0.3333333333333333	1.1108093088875155	6	0
developer	38/-91	0.08169934640522876	0.3664122819103235	306	0
ref	42/-88	0.2824074074074074	0.5781761921775754	216	0
see	40/-74	0.031040736607142856	3.7025085485685465e-06	28672	0
answer	34/-119	0.03482587064676617	0.13915228505544602	804	0
three	40/-74	0.03595368677635588	0.05176701852437866	1641	0
luck	26/-81	0.032624113475177303	0.06175192345317856	1410	0
lose	40/-74	0.026217228464419477	0.009608924463840337	1869	0
mileage	41/-78	0.125	0.8034334711264863	16	0
heading	40/-74	0.0345489443378119	0.20201407200205249	521	0
messy	34/-119	0.05042016806722689	0.3942331911595919	119	0
sharing	43/-80	0.08189655172413793	0.32349723008325926	464	0
gift	40/-74	0.039285714285714285	0.09151902887300598	1680	0
row	40/-75	0.04094488188976378	0.16923797552121184	635	0
namas	25/-101	0.6666666666666666	4.9999944577370385	3	0
bitch	29/-96	0.04463183874948581	3.7025085485685465e-06	4862	0
lo	25/-101	0.11405295315682282	0.10788607162625065	3928	0
meal	34/-119	0.034904013961605584	0.1906783723218086	573	0
service	40/-74	0.03259452411994785	1.471756497543148e-05	2301	0
un	25/-101	0.2	0.24187522091728905	2390	0
pls	40/-74	0.040183696900114814	0.1700555129909347	871	0
order	40/-74	0.04627450980392157	0.1435837895368038	1275	0
week	40/-74	0.03951434878587196	5.6013025405373284e-06	4530	0
someone	40/-74	0.033630421865715986	3.7025085485685465e-06	8415	0
self	40/-74	0.0423728813559322	0.1273479295851486	1180	0
srsly	42/-76	0.10256410256410256	0.6417334034994178	39	0
nest	34/-82	0.12987012987012986	0.6881677816587553	77	0
touch	40/-74	0.04911591355599214	0.24298513531841426	509	0
quieren	25/-101	0.21052631578947367	0.677329196914157	76	0
guess	40/-74	0.03747609942638623	0.025119428699063747	2615	0
maplewood	44/-94	0.5	0.94282426832526	28	0
omg	40/-74	0.039634146341463415	6.2356365263479745e-06	3280	0
click	42/-72	0.023864263380540738	3.7025085485685465e-06	21748	0
alone	40/-74	0.03633405639913232	0.045904304258396145	1844	0
super	40/-74	0.03419689119170984	0.03003060398032679	1930	0
took	40/-74	0.038356164383561646	0.025121466263964692	2555	0
live	40/-74	0.044938719927371765	6.263369568963949e-06	4406	0
parents	40/-74	0.03769140164899882	0.05849098882057354	1698	0
deserves	35/-98	0.0351985559566787	0.11125700891822003	1108	0
ya	25/-101	0.07972885732730794	0.019600725710592175	6196	0
bfs	47/-123	0.1	0.7586625792434553	20	0
broadcasts	38/-80	0.07142857142857142	0.7104140485484579	14	0
beefing	29/-96	0.10144927536231885	0.589519502716448	69	0
heas	34/-119	0.03861003861003861	0.27650293219940597	259	0
en	25/-101	0.21966261563577	0.16445490412888336	5513	0
ohio	41/-82	0.2053742802303263	0.37073838010696397	1042	0
ca	34/-119	0.17478632478632478	0.10154032894746443	9360	0
look	40/-74	0.040453074433656956	3.7025085485685465e-06	7416	0
idiot	40/-74	0.054187192118226604	0.25987934208060703	609	0
incredible	40/-74	0.07119741100323625	0.2582248500951062	618	0
heat	38/-80	0.05543710021321962	0.2601570530085824	469	0
ny	40/-74	0.48525044545634527	0.3365372675955896	5051	0
home	40/-74	0.03374005305039788	3.7025085485685465e-06	9425	0
included	40/-74	0.06521739130434782	0.4232198324388412	138	0
grace	34/-119	0.04428044280442804	0.3033155511988481	271	0
ill	29/-96	0.02880658436213992	0.2027865080051975	486	0
whatever	34/-119	0.03882476390346275	0.13514185219057087	953	0
woman	40/-74	0.054987212276214836	0.11467810225120097	1564	0
country	40/-74	0.034129692832764506	0.04542510780364194	1758	0
speak	40/-74	0.03769140164899882	0.16204778076437418	849	0
voting	40/-74	0.056338028169014086	0.3658635318791934	213	0
men’s	40/-74	0.11428571428571428	0.5278087140999289	105	0
career	29/-96	0.03676470588235294	0.0896243596525565	1496	0
nd	40/-74	0.05060827250608273	0.09043129621072855	2055	0
outta	29/-96	0.0444743935309973	0.19741133987486054	742	0
“now	41/-88	0.10344827586206896	0.7152036191553048	29	0
havin…	45/-98	0.2	0.9663285777334051	5	0
