makeup	34/-119	0.040100250626566414	0.15046929227454683	798	0
beefing	29/-96	0.10144927536231885	0.6284371667514324	69	0
museum	40/-74	0.16766467065868262	0.36914385174795133	668	0
pittsburgh	40/-80	0.4195323246217332	0.5282705724087637	727	0
lascruces	32/-107	0.7941176470588235	1.1803464368424204	34	0
sore	34/-119	0.050505050505050504	0.39811076880730184	198	0
unique	40/-74	0.05732484076433121	0.41461811366196716	157	0
order…	38/-93	0.1	0.7747457340495543	20	0
hali	29/-91	0.6666666666666666	1.3274056731434367	6	0
driving	31/-101	0.024738344433872503	0.0915789558436281	1051	2
guyssss	37/-86	0.14285714285714285	0.9070246736323315	7	0
dramatic	29/-96	0.04568527918781726	0.3688343690476863	197	0
rose	34/-119	0.06757990867579909	0.20200876904906256	1095	1
plummeted	36/-122	0.5	1.272050785652967	2	0
turkey	40/-74	0.0499151103565365	0.04064910769961508	2945	0
uva	38/-79	0.22764227642276422	0.5770318637539201	246	0
broomall	39/-76	0.9090909090909091	4.999994761399863	11	0
glenbrook	41/-88	0.7333333333333333	1.2779525984410418	15	0
contemporary	36/-116	0.3225806451612903	0.8587449634648272	31	0
time	40/-74	0.03940010167768175	3.7025085485685465e-06	23604	0
characters	40/-74	0.05855855855855856	0.3683483047169843	222	0
samharveyuk	38/-86	0.6666666666666666	4.999994970990383	3	0
conway	35/-93	0.5733333333333334	0.7999223024606729	150	0
décembre	45/-74	0.625	1.3066564352879722	8	0
grigio	41/-78	0.2	1.0155170497777295	5	0
like	40/-74	0.03728075994374718	3.7025085485685465e-06	37687	0
“now	41/-88	0.10344827586206896	0.7432224624106946	29	0
maureen	38/-77	0.3333333333333333	1.160635860718089	3	0
l’hiver	45/-74	0.5	1.3564995394216146	2	0
proven	40/-74	0.0594059405940594	0.49053910285325053	101	0
fit	40/-74	0.025700299156921402	3.7025085485685465e-06	14708	0
legends	40/-74	0.0782608695652174	0.49257690165200774	115	0
gz	34/-118	0.3333333333333333	1.1468988481072198	3	0
il	41/-88	0.38612321095208463	0.3531733269952935	3214	0
mileage	41/-78	0.125	0.8331863374163483	16	0
fuego	25/-101	0.10869565217391304	0.6405383494993939	46	0
survivants	46/-72	0.6666666666666666	4.999994054253013	3	0
lew	25/-81	0.25	1.0539775746732265	4	0
lmfao	29/-96	0.05140845070422535	0.13458850575606632	1420	0
outlets	41/-88	0.10606060606060606	0.43664147024320127	396	0
osceola	34/-93	0.4090909090909091	1.131721082676227	22	0
san	37/-123	0.28641304347826085	0.3485005163585744	1840	0
will…	38/-78	0.04964539007092199	0.4417067392443899	141	0
tattoo	34/-119	0.056218057921635436	0.22529334916221874	587	0
flops	40/-74	0.07894736842105263	0.6232374493448148	38	0
tennessee	35/-86	0.2360248447204969	0.506371256341332	483	0
altstadtbrewery	30/-97	0.6666666666666666	1.373948983106505	3	0
pp	45/-123	0.7969052224371374	0.7567704460025008	517	0
whatever	34/-119	0.03882476390346275	0.13465928692049997	953	0
suprise	40/-75	0.15384615384615385	0.8164071613325947	26	0
click	42/-72	0.023864263380540738	3.7025085485685465e-06	21748	0
wolf	35/-106	0.10596026490066225	0.5120503438574355	151	0
produced	40/-74	0.07777777777777778	0.5176954973615702	90	0
president	40/-74	0.05029296875	0.07363078414647467	2048	0
leftover	40/-74	0.05545286506469501	0.24166440437522263	541	0
winona	33/-90	0.825	1.1478318312964098	120	0
girl	29/-96	0.03597365309913866	3.7025085485685465e-06	5921	0
done	40/-74	0.03311661926046323	3.7025085485685465e-06	4922	1
intention	34/-119	0.0975609756097561	0.6297293968490363	41	0
butter	40/-74	0.046762589928057555	0.32073843858566736	278	0
bouta	38/-78	0.07894736842105263	0.37820632254202696	266	0
moans	36/-116	0.25	1.0651780931943626	4	0
richards'	40/-75	0.5	1.3203483564844027	2	0
money	40/-74	0.04190434401053093	3.7025085485685465e-06	4558	2
freedom	40/-74	0.09352517985611511	0.396685359925243	278	0
los	34/-119	0.2418745275888133	0.22970001922335304	2646	0
driver	40/-75	0.021568627450980392	3.7025085485685465e-06	3060	0
pepa	32/-84	0.5555555555555556	1.1726223653251562	9	0
job	40/-74	0.023875102263430596	3.7025085485685465e-06	73340	10
bumble	34/-119	0.13043478260869565	0.978291478882116	23	0
hubris	43/-73	0.2727272727272727	0.9871844388713197	11	0
idiot	40/-74	0.05747126436781609	0.257234343539025	609	2
amp	40/-74	0.043418554868936546	3.7025085485685465e-06	24759	0
westco	39/-95	0.5	1.1698786044584526	6	0
sick	29/-96	0.03149955634427684	0.030681120729823205	2254	1
gamecocknation	33/-81	0.16666666666666666	0.9720629914430866	6	0
monument	39/-87	0.24390243902439024	0.6947558141748688	82	0
sharing	43/-80	0.08189655172413793	0.32432162335301246	464	0
baroque	42/-76	0.3333333333333333	1.1564655213433763	3	0
mbs	40/-74	0.1875	0.8610521902792825	16	0
hopkinsville	36/-88	0.5384615384615384	1.1172845455108866	13	0
nous	46/-72	0.4177215189873418	0.8305732824032747	79	0
benefit	40/-74	0.050724637681159424	0.4063138453457868	138	0
inte…	29/-99	0.13333333333333333	0.8041707824383124	15	0
mad	40/-74	0.04060509554140127	0.027451036403383436	2512	1
bonded	29/-99	0.16666666666666666	0.9036606261192293	12	0
forked	39/-75	0.3333333333333333	1.054408562042776	6	0
men’s	40/-74	0.11428571428571428	0.56444119753905	105	0
dogsoftwitter	47/-123	0.125	0.7908845765522928	32	0
hof	40/-75	0.07017543859649122	0.5738238009619142	57	0
burial	40/-74	0.3333333333333333	1.1164928546518307	6	0
