vincent	50/4	0.4794447410571276	0.605984332773505
illinois	41/-88	0.4175337613460261	0.5893809958321331
earlybird	37/-123	0.06570155902004454	0.3700182693713807
con	39/-4	0.23362702733037768	0.5265781088426292
jersey	40/-75	0.5386178861788617	0.612750620560247
protest	38/-78	0.18092192912336796	0.4873461171296843
taking	53/-7	0.05922098569157393	0.36518877465331373
resolution	53/-7	0.07348406988694758	0.39169067972741956
va	37/-78	0.38290076335877865	0.5749387279764986
ancient	31/35	0.08432338452622429	0.4036066070306362
salt	40/-112	0.2650439486139283	0.5312234107527518
education	37/-123	0.04345238095238095	0.32517814729173433
thailand	13/100	0.30064754856614245	0.5462545598235198
set	53/-7	0.0565100393293314	0.3614490251246581
carolina	35/-79	0.08263772954924875	0.409473996282734
desde	39/-4	0.3592902907836373	0.575266073239904
urban	51/-1	0.0448263848565788	0.33607942144851055
fra	47/6	0.13594771241830064	0.4729063808935017
pueblo	39/-4	0.37841421373640943	0.5775177081282444
mayfair	51/-1	0.09815950920245399	0.4202669350824476
prospect	40/-74	0.8390486725663717	0.7042997066871951
singapore	1/103	0.7796423658872077	0.6381792562141975
hike	37/-123	0.04604380867232901	0.33859519236748437
material	39/-4	0.4878237340548898	0.6032679751279937
nova	44/-64	0.2513011152416357	0.5275562862630261
cathedral	51/-1	0.04378867206092337	0.3416805187227457
leadership	45/-123	0.34615384615384615	0.5583274755338222
liga	42/-72	0.5337620578778135	0.6732700081382919
maryland	39/-77	0.3689799014031096	0.5695863126132829
east	40/-74	0.0632962752576483	0.3682319567370061
people	40/-74	0.03880871968068775	0.31436232638717815
years	51/-1	0.04270544783010157	0.3297609020346802
metropolitan	40/-74	0.45348837209302323	0.5908978949150484
japanese	35/139	0.13649950182663567	0.4511602262946369
seen	50/4	0.12119905111063188	0.44768033623742387
bull	51/-1	0.05935251798561151	0.36677643252459013
vienna	48/16	0.8580060422960725	0.6658089047068493
hall	51/-1	0.07268920131618307	0.3911395637989127
bortescristian	46/23	0.27912087912087913	0.6683097239658276
photo	37/-123	0.04232320685743098	0.3206556156220567
ikastola	43/-3	0.9448169159360496	0.8285544310388276
beautiful	37/-123	0.04435256530727307	0.3287612433861212
interactive	9/-80	0.6341656757827983	0.6172560782675237
gestos	39/-4	0.6042267050912584	0.7035635867378401
credit	37/-123	0.18747656542932134	0.48899260339049777
kong	22/114	0.7230161143204622	0.6338463726590174
ran	53/-7	0.09746835443037975	0.41972972692488836
island	40/-74	0.05950157769334793	0.3625744584200888
airport	37/-123	0.03639313861845155	0.3045095567710556
mejores	39/-4	0.5725952813067151	0.6450005004565521
england	51/-1	0.28553936574017386	0.5491560970697152
japan	35/139	0.32546819011561084	0.5557282247068753
samsung	51/-1	0.13780183180682765	0.46533226021583113
commons	37/-123	0.07642124883504194	0.38592746680484213
terms	37/-123	0.19298245614035087	0.49215900853869
format	37/-123	0.05032360941750305	0.34072266604245194
que	39/-4	0.23244827586206895	0.5254774338292445
antonio	50/4	0.19499859511098624	0.505173405751802
shore	1/103	0.2669884886743409	0.5150109588345557
ann	42/-84	0.7399364406779662	0.6495338507628899
underwater	1/103	0.282642689601251	0.525711951827675
toledo	39/-4	0.4723320158102767	0.601414240568969
team	42/-72	0.11066690895874977	0.43451045817802114
sus	39/-4	0.5025266704098821	0.6094657562821815
san	37/-123	0.39904062359466347	0.5728005534169928
auspctagged	-34/151	0.3806228373702422	0.6984221367695794
central	9/-80	0.21226088960589998	0.49845181896670654
british	49/-124	0.1934596577017115	0.49743940575178547
germany	52/13	0.17813079590355616	0.5028437934261518
ambiciosos	39/-4	0.6056812710640347	0.7084105619941904
wars	51/-1	0.19140625	0.4993195370870171
la	39/-4	0.13758102268635217	0.46912483554865647
metal	38/-78	0.0956661316211878	0.41765663603070735
south	51/-1	0.03713667774436884	0.30743230431142615
school	33/-119	0.0649729636941035	0.3713975639687682
art	45/4	0.07984613952911251	0.39830929685966365
zoom	42/-72	0.3091216216216216	0.5481031782643679
sony	42/-72	0.11647398843930636	0.43607261547146015
eye-fi	37/-123	0.11858327729208698	0.43924109073664036
bali	-9/115	0.7651309846431797	0.6656907795645445
road	51/-1	0.07339163023110556	0.3900894655053368
canon	51/-1	0.03552535570959504	0.31027929036207635
flowers	51/-1	0.036010082823190494	0.3108227665940813
app	37/-123	0.05217933947772657	0.3449406577500614
university	34/-119	0.0515977719143946	0.34654177673293823
creative	37/-123	0.07464813825048994	0.38389965593943154
back	53/-7	0.035836828059473885	0.3101730038580339
dasyprocta	9/-80	0.9234642497482377	0.76217657811287
kensington	51/-1	0.6331236897274634	0.7760091855940633
nacional	39/-4	0.0976349302607641	0.41956299979769496
angeles	34/-119	0.5945985615734625	0.6215811682584861
history	51/-1	0.04753648316717237	0.3443447149440489
music	37/-123	0.07017100070828695	0.37769774612775064
girls	36/-123	0.09165858389912707	0.40997545804764973
lake	40/-112	0.03358600583090379	0.30335397070499426
york	40/-74	0.5789960210602467	0.6238759152238845
lot	44/1	0.0427208627125674	0.32622240348255166
christman	37/-78	0.8876404494382022	0.8996531245727393
jakintza	43/-3	0.9659714599341384	0.8375706288921644
tree	51/-1	0.03134996801023673	0.29532594452059097
thames	51/-1	0.7516828721017202	0.7168965848402261
milan	45/9	0.6794310722100656	0.6819407367682011
ehrmann	45/4	0.9411071849234394	0.9336907516718681
nosotros	39/-4	0.5919134931828867	0.6665195934717171
research	9/-80	0.5633579725448785	0.6050666031651912
smith	45/-123	0.14223057644110276	0.4615171719577998
learn	9/-80	0.49953168904152356	0.5921685763689915
